v1	V(n001)	V(n002)	Id(M1)
Step Information: V2=-500m  (Run: 1/51)
4.199999999999999e-001	4.200000e-001	-4.600000e-001	1.749340e-009
4.599999999999999e-001	4.600000e-001	-4.600000e-001	2.304945e-009
4.999999999999998e-001	5.000000e-001	-4.600000e-001	3.025661e-009
5.399999999999998e-001	5.400000e-001	-4.600000e-001	3.958100e-009
5.799999999999999e-001	5.800000e-001	-4.600000e-001	5.161526e-009
6.199999999999999e-001	6.200000e-001	-4.600000e-001	6.711183e-009
6.599999999999999e-001	6.600000e-001	-4.600000e-001	8.702475e-009
7.000000000000000e-001	7.000000e-001	-4.600000e-001	1.125622e-008
7.400000000000000e-001	7.400000e-001	-4.600000e-001	1.452525e-008
7.800000000000000e-001	7.800000e-001	-4.600000e-001	1.870264e-008
8.200000000000001e-001	8.200000e-001	-4.600000e-001	2.403217e-008
8.600000000000001e-001	8.600000e-001	-4.600000e-001	3.082144e-008
9.000000000000001e-001	9.000000e-001	-4.600000e-001	3.945972e-008
9.400000000000002e-001	9.400000e-001	-4.600000e-001	5.044489e-008
9.800000000000002e-001	9.800000e-001	-4.600000e-001	6.443183e-008
1.020000000000000e+000	1.020000e+000	-4.600000e-001	8.232836e-008
1.060000000000000e+000	1.060000e+000	-4.600000e-001	1.054871e-007
1.100000000000000e+000	1.100000e+000	-4.600000e-001	1.360684e-007
1.140000000000000e+000	1.140000e+000	-4.600000e-001	1.776779e-007
1.180000000000000e+000	1.180000e+000	-4.600000e-001	2.364007e-007
1.220000000000000e+000	1.220000e+000	-4.600000e-001	3.223628e-007
1.260000000000001e+000	1.260000e+000	-4.600000e-001	4.519381e-007
1.300000000000001e+000	1.300000e+000	-4.600000e-001	6.506932e-007
1.340000000000001e+000	1.340000e+000	-4.600000e-001	9.571198e-007
1.380000000000001e+000	1.380000e+000	-4.600000e-001	1.427159e-006
1.420000000000001e+000	1.420000e+000	-4.600000e-001	2.139467e-006
1.460000000000001e+000	1.460000e+000	-4.600000e-001	3.201331e-006
1.500000000000000e+000	1.500000e+000	-4.600000e-001	4.755116e-006
Step Information: V2=-420m  (Run: 3/51)
-5.000000000000000e-001	-5.000000e-001	-4.200000e-001	-3.293759e-006
-4.600000000000000e-001	-4.600000e-001	-4.200000e-001	-7.637225e-007
-4.200000000000000e-001	-4.200000e-001	-4.200000e-001	-1.762924e-007
-3.800000000000001e-001	-3.800000e-001	-4.200000e-001	-4.037845e-008
-3.400000000000001e-001	-3.400000e-001	-4.200000e-001	-9.174913e-009
-3.000000000000001e-001	-3.000000e-001	-4.200000e-001	-2.069705e-009
-2.600000000000001e-001	-2.600000e-001	-4.200000e-001	-4.626891e-010
-2.200000000000001e-001	-2.200000e-001	-4.200000e-001	-1.000859e-010
-1.800000000000001e-001	-1.800000e-001	-4.200000e-001	-1.662981e-011
-1.400000000000001e-001	-1.400000e-001	-4.200000e-001	5.548806e-012
-1.000000000000001e-001	-1.000000e-001	-4.200000e-001	1.573827e-011
-6.000000000000009e-002	-6.000000e-002	-4.200000e-001	2.555055e-011
-2.000000000000009e-002	-2.000000e-002	-4.200000e-001	3.838759e-011
1.999999999999991e-002	2.000000e-002	-4.200000e-001	5.608038e-011
5.999999999999992e-002	6.000000e-002	-4.200000e-001	8.046274e-011
9.999999999999992e-002	1.000000e-001	-4.200000e-001	1.138117e-010
1.399999999999999e-001	1.400000e-001	-4.200000e-001	1.590707e-010
1.799999999999999e-001	1.800000e-001	-4.200000e-001	2.200630e-010
2.200000000000000e-001	2.200000e-001	-4.200000e-001	3.017485e-010
2.600000000000000e-001	2.600000e-001	-4.200000e-001	4.105441e-010
2.999999999999999e-001	3.000000e-001	-4.200000e-001	5.547319e-010
3.399999999999999e-001	3.400000e-001	-4.200000e-001	7.449747e-010
3.799999999999999e-001	3.800000e-001	-4.200000e-001	9.949715e-010
4.199999999999999e-001	4.200000e-001	-4.200000e-001	1.322286e-009
4.599999999999999e-001	4.600000e-001	-4.200000e-001	1.749391e-009
4.999999999999998e-001	5.000000e-001	-4.200000e-001	2.304996e-009
5.399999999999998e-001	5.400000e-001	-4.200000e-001	3.025711e-009
5.799999999999999e-001	5.800000e-001	-4.200000e-001	3.958150e-009
6.199999999999999e-001	6.200000e-001	-4.200000e-001	5.161577e-009
6.599999999999999e-001	6.600000e-001	-4.200000e-001	6.711234e-009
7.000000000000000e-001	7.000000e-001	-4.200000e-001	8.702527e-009
7.400000000000000e-001	7.400000e-001	-4.200000e-001	1.125627e-008
7.800000000000000e-001	7.800000e-001	-4.200000e-001	1.452530e-008
8.200000000000001e-001	8.200000e-001	-4.200000e-001	1.870270e-008
8.600000000000001e-001	8.600000e-001	-4.200000e-001	2.403222e-008
9.000000000000001e-001	9.000000e-001	-4.200000e-001	3.082149e-008
9.400000000000002e-001	9.400000e-001	-4.200000e-001	3.945977e-008
9.800000000000002e-001	9.800000e-001	-4.200000e-001	5.044494e-008
1.020000000000000e+000	1.020000e+000	-4.200000e-001	6.443188e-008
1.060000000000000e+000	1.060000e+000	-4.200000e-001	8.232843e-008
1.100000000000000e+000	1.100000e+000	-4.200000e-001	1.054871e-007
1.140000000000000e+000	1.140000e+000	-4.200000e-001	1.360685e-007
1.180000000000000e+000	1.180000e+000	-4.200000e-001	1.776781e-007
1.220000000000000e+000	1.220000e+000	-4.200000e-001	2.364010e-007
1.260000000000001e+000	1.260000e+000	-4.200000e-001	3.223634e-007
1.300000000000001e+000	1.300000e+000	-4.200000e-001	4.519392e-007
1.340000000000001e+000	1.340000e+000	-4.200000e-001	6.506950e-007
1.380000000000001e+000	1.380000e+000	-4.200000e-001	9.571228e-007
1.420000000000001e+000	1.420000e+000	-4.200000e-001	1.427164e-006
1.460000000000001e+000	1.460000e+000	-4.200000e-001	2.139474e-006
1.500000000000000e+000	1.500000e+000	-4.200000e-001	3.201342e-006
Step Information: V2=-380m  (Run: 4/51)
-5.000000000000000e-001	-5.000000e-001	-3.800000e-001	-4.413545e-006
-4.600000000000000e-001	-4.600000e-001	-3.800000e-001	-1.117711e-006
-4.200000000000000e-001	-4.200000e-001	-3.800000e-001	-2.799211e-007
-3.800000000000001e-001	-3.800000e-001	-3.800000e-001	-6.866794e-008
-3.400000000000001e-001	-3.400000e-001	-3.800000e-001	-1.649564e-008
-3.000000000000001e-001	-3.000000e-001	-3.800000e-001	-3.894100e-009
-2.600000000000001e-001	-2.600000e-001	-3.800000e-001	-9.061533e-010
-2.200000000000001e-001	-2.200000e-001	-3.800000e-001	-2.070892e-010
-1.800000000000001e-001	-1.800000e-001	-3.800000e-001	-4.405911e-011
-1.400000000000001e-001	-1.400000e-001	-3.800000e-001	-4.347059e-012
-1.000000000000001e-001	-1.000000e-001	-3.800000e-001	8.267937e-012
-6.000000000000009e-002	-6.000000e-002	-3.800000e-001	1.637598e-011
-2.000000000000009e-002	-2.000000e-002	-3.800000e-001	2.574947e-011
1.999999999999991e-002	2.000000e-002	-3.800000e-001	3.849082e-011
5.999999999999992e-002	6.000000e-002	-3.800000e-001	5.615980e-011
9.999999999999992e-002	1.000000e-001	-3.800000e-001	8.053618e-011
1.399999999999999e-001	1.400000e-001	-3.800000e-001	1.138844e-010
1.799999999999999e-001	1.800000e-001	-3.800000e-001	1.591433e-010
2.200000000000000e-001	2.200000e-001	-3.800000e-001	2.201358e-010
2.600000000000000e-001	2.600000e-001	-3.800000e-001	3.018213e-010
2.999999999999999e-001	3.000000e-001	-3.800000e-001	4.106170e-010
3.399999999999999e-001	3.400000e-001	-3.800000e-001	5.548049e-010
3.799999999999999e-001	3.800000e-001	-3.800000e-001	7.450478e-010
4.199999999999999e-001	4.200000e-001	-3.800000e-001	9.950447e-010
4.599999999999999e-001	4.600000e-001	-3.800000e-001	1.322359e-009
4.999999999999998e-001	5.000000e-001	-3.800000e-001	1.749464e-009
5.399999999999998e-001	5.400000e-001	-3.800000e-001	2.305069e-009
5.799999999999999e-001	5.800000e-001	-3.800000e-001	3.025785e-009
6.199999999999999e-001	6.200000e-001	-3.800000e-001	3.958224e-009
6.599999999999999e-001	6.600000e-001	-3.800000e-001	5.161651e-009
7.000000000000000e-001	7.000000e-001	-3.800000e-001	6.711308e-009
7.400000000000000e-001	7.400000e-001	-3.800000e-001	8.702600e-009
7.800000000000000e-001	7.800000e-001	-3.800000e-001	1.125635e-008
8.200000000000001e-001	8.200000e-001	-3.800000e-001	1.452537e-008
8.600000000000001e-001	8.600000e-001	-3.800000e-001	1.870277e-008
9.000000000000001e-001	9.000000e-001	-3.800000e-001	2.403229e-008
9.400000000000002e-001	9.400000e-001	-3.800000e-001	3.082156e-008
9.800000000000002e-001	9.800000e-001	-3.800000e-001	3.945985e-008
1.020000000000000e+000	1.020000e+000	-3.800000e-001	5.044502e-008
1.060000000000000e+000	1.060000e+000	-3.800000e-001	6.443196e-008
1.100000000000000e+000	1.100000e+000	-3.800000e-001	8.232850e-008
1.140000000000000e+000	1.140000e+000	-3.800000e-001	1.054872e-007
1.180000000000000e+000	1.180000e+000	-3.800000e-001	1.360686e-007
1.220000000000000e+000	1.220000e+000	-3.800000e-001	1.776783e-007
1.260000000000001e+000	1.260000e+000	-3.800000e-001	2.364013e-007
1.300000000000001e+000	1.300000e+000	-3.800000e-001	3.223640e-007
1.340000000000001e+000	1.340000e+000	-3.800000e-001	4.519401e-007
1.380000000000001e+000	1.380000e+000	-3.800000e-001	6.506966e-007
1.420000000000001e+000	1.420000e+000	-3.800000e-001	9.571255e-007
1.460000000000001e+000	1.460000e+000	-3.800000e-001	1.427168e-006
1.500000000000000e+000	1.500000e+000	-3.800000e-001	2.139480e-006
Step Information: V2=-340m  (Run: 5/51)
-5.000000000000000e-001	-5.000000e-001	-3.400000e-001	-6.951602e-006
-4.600000000000000e-001	-4.600000e-001	-3.400000e-001	-1.962900e-006
-4.200000000000000e-001	-4.200000e-001	-3.400000e-001	-5.418437e-007
-3.800000000000001e-001	-3.800000e-001	-3.400000e-001	-1.438468e-007
-3.400000000000001e-001	-3.400000e-001	-3.400000e-001	-3.669869e-008
-3.000000000000001e-001	-3.000000e-001	-3.400000e-001	-9.064966e-009
-2.600000000000001e-001	-2.600000e-001	-3.400000e-001	-2.185543e-009
-2.200000000000001e-001	-2.200000e-001	-3.400000e-001	-5.168553e-010
-1.800000000000001e-001	-1.800000e-001	-3.400000e-001	-1.190045e-010
-1.400000000000001e-001	-1.400000e-001	-3.400000e-001	-2.420635e-011
-1.000000000000001e-001	-1.000000e-001	-3.400000e-001	1.517158e-013
-6.000000000000009e-002	-6.000000e-002	-3.400000e-001	9.345118e-012
-2.000000000000009e-002	-2.000000e-002	-3.400000e-001	1.673532e-011
1.999999999999991e-002	2.000000e-002	-3.400000e-001	2.594875e-011
5.999999999999992e-002	6.000000e-002	-3.400000e-001	3.864486e-011
9.999999999999992e-002	1.000000e-001	-3.400000e-001	5.630134e-011
1.399999999999999e-001	1.400000e-001	-3.400000e-001	8.067663e-011
1.799999999999999e-001	1.800000e-001	-3.400000e-001	1.140250e-010
2.200000000000000e-001	2.200000e-001	-3.400000e-001	1.592842e-010
2.600000000000000e-001	2.600000e-001	-3.400000e-001	2.202770e-010
2.999999999999999e-001	3.000000e-001	-3.400000e-001	3.019628e-010
3.399999999999999e-001	3.400000e-001	-3.400000e-001	4.107588e-010
3.799999999999999e-001	3.800000e-001	-3.400000e-001	5.549469e-010
4.199999999999999e-001	4.200000e-001	-3.400000e-001	7.451901e-010
4.599999999999999e-001	4.600000e-001	-3.400000e-001	9.951873e-010
