v1	V(n001)	I(D1)
-8.939999999999970e-002	-8.940000e-002	-2.169654e-009
-8.929999999999970e-002	-8.930000e-002	-2.168880e-009
-8.919999999999970e-002	-8.920000e-002	-2.168104e-009
-8.909999999999969e-002	-8.910000e-002	-2.167327e-009
-8.899999999999969e-002	-8.900000e-002	-2.166547e-009
-8.889999999999969e-002	-8.890000e-002	-2.165766e-009
-8.879999999999969e-002	-8.880000e-002	-2.164983e-009
-8.869999999999968e-002	-8.870000e-002	-2.164199e-009
-8.859999999999968e-002	-8.860000e-002	-2.163412e-009
-8.849999999999968e-002	-8.850000e-002	-2.162624e-009
-8.839999999999967e-002	-8.840000e-002	-2.161834e-009
-8.829999999999967e-002	-8.830000e-002	-2.161043e-009
-8.819999999999967e-002	-8.820000e-002	-2.160250e-009
-8.809999999999967e-002	-8.810000e-002	-2.159454e-009
-8.799999999999966e-002	-8.800000e-002	-2.158658e-009
-8.789999999999966e-002	-8.790000e-002	-2.157859e-009
-8.779999999999966e-002	-8.780000e-002	-2.157059e-009
-8.769999999999965e-002	-8.770000e-002	-2.156257e-009
-8.759999999999965e-002	-8.760000e-002	-2.155453e-009
-8.749999999999965e-002	-8.750000e-002	-2.154647e-009
-8.739999999999965e-002	-8.740000e-002	-2.153840e-009
-8.729999999999964e-002	-8.730000e-002	-2.153030e-009
-8.719999999999964e-002	-8.720000e-002	-2.152220e-009
-8.709999999999964e-002	-8.710000e-002	-2.151407e-009
-8.699999999999963e-002	-8.700000e-002	-2.150592e-009
-8.689999999999963e-002	-8.690000e-002	-2.149776e-009
-8.679999999999963e-002	-8.680000e-002	-2.148957e-009
-8.669999999999963e-002	-8.670000e-002	-2.148137e-009
-8.659999999999962e-002	-8.660000e-002	-2.147316e-009
-8.649999999999962e-002	-8.650000e-002	-2.146492e-009
-8.639999999999962e-002	-8.640000e-002	-2.145667e-009
-8.629999999999961e-002	-8.630000e-002	-2.144839e-009
-8.619999999999961e-002	-8.620000e-002	-2.144010e-009
-8.609999999999961e-002	-8.610000e-002	-2.143179e-009
-8.599999999999961e-002	-8.600000e-002	-2.142347e-009
-8.589999999999960e-002	-8.590000e-002	-2.141512e-009
-8.579999999999960e-002	-8.580000e-002	-2.140676e-009
-8.569999999999960e-002	-8.570000e-002	-2.139837e-009
-8.559999999999959e-002	-8.560000e-002	-2.138997e-009
-8.549999999999959e-002	-8.550000e-002	-2.138155e-009
-8.539999999999959e-002	-8.540000e-002	-2.137311e-009
-8.529999999999958e-002	-8.530000e-002	-2.136466e-009
-8.519999999999958e-002	-8.520000e-002	-2.135618e-009
-8.509999999999958e-002	-8.510000e-002	-2.134769e-009
-8.499999999999958e-002	-8.500000e-002	-2.133917e-009
-8.489999999999957e-002	-8.490000e-002	-2.133064e-009
-8.479999999999957e-002	-8.480000e-002	-2.132209e-009
-8.469999999999957e-002	-8.470000e-002	-2.131352e-009
-8.459999999999956e-002	-8.460000e-002	-2.130493e-009
-8.449999999999956e-002	-8.450000e-002	-2.129632e-009
-8.439999999999956e-002	-8.440000e-002	-2.128770e-009
-8.429999999999956e-002	-8.430000e-002	-2.127905e-009
-8.419999999999955e-002	-8.420000e-002	-2.127038e-009
-8.409999999999955e-002	-8.410000e-002	-2.126170e-009
-8.399999999999955e-002	-8.400000e-002	-2.125300e-009
-8.389999999999954e-002	-8.390000e-002	-2.124428e-009
-8.379999999999954e-002	-8.380000e-002	-2.123553e-009
-8.369999999999954e-002	-8.370000e-002	-2.122677e-009
-8.359999999999954e-002	-8.360000e-002	-2.121799e-009
-8.349999999999953e-002	-8.350000e-002	-2.120919e-009
-8.339999999999953e-002	-8.340000e-002	-2.120037e-009
-8.329999999999953e-002	-8.330000e-002	-2.119153e-009
-8.319999999999952e-002	-8.320000e-002	-2.118267e-009
-8.309999999999952e-002	-8.310000e-002	-2.117380e-009
-8.299999999999952e-002	-8.300000e-002	-2.116490e-009
-8.289999999999952e-002	-8.290000e-002	-2.115598e-009
-8.279999999999951e-002	-8.280000e-002	-2.114704e-009
-8.269999999999951e-002	-8.270000e-002	-2.113809e-009
-8.259999999999951e-002	-8.260000e-002	-2.112911e-009
-8.249999999999950e-002	-8.250000e-002	-2.112011e-009
-8.239999999999950e-002	-8.240000e-002	-2.111110e-009
-8.229999999999950e-002	-8.230000e-002	-2.110206e-009
-8.219999999999950e-002	-8.220000e-002	-2.109301e-009
-8.209999999999949e-002	-8.210000e-002	-2.108393e-009
-8.199999999999949e-002	-8.200000e-002	-2.107484e-009
-8.189999999999949e-002	-8.190000e-002	-2.106572e-009
-8.179999999999948e-002	-8.180000e-002	-2.105658e-009
-8.169999999999948e-002	-8.170000e-002	-2.104743e-009
-8.159999999999948e-002	-8.160000e-002	-2.103825e-009
-8.149999999999948e-002	-8.150000e-002	-2.102905e-009
-8.139999999999947e-002	-8.140000e-002	-2.101984e-009
-8.129999999999947e-002	-8.130000e-002	-2.101060e-009
-8.119999999999947e-002	-8.120000e-002	-2.100134e-009
-8.109999999999946e-002	-8.110000e-002	-2.099206e-009
-8.099999999999946e-002	-8.100000e-002	-2.098276e-009
-8.089999999999946e-002	-8.090000e-002	-2.097344e-009
-8.079999999999946e-002	-8.080000e-002	-2.096410e-009
-8.069999999999945e-002	-8.070000e-002	-2.095474e-009
-8.059999999999945e-002	-8.060000e-002	-2.094536e-009
-8.049999999999945e-002	-8.050000e-002	-2.093596e-009
-8.039999999999944e-002	-8.040000e-002	-2.092654e-009
-8.029999999999944e-002	-8.030000e-002	-2.091709e-009
-8.019999999999944e-002	-8.020000e-002	-2.090763e-009
-8.009999999999944e-002	-8.010000e-002	-2.089814e-009
-7.999999999999943e-002	-8.000000e-002	-2.088864e-009
-7.989999999999943e-002	-7.990000e-002	-2.087911e-009
-7.979999999999943e-002	-7.980000e-002	-2.086956e-009
-7.969999999999942e-002	-7.970000e-002	-2.085999e-009
-7.959999999999942e-002	-7.960000e-002	-2.085040e-009
-7.949999999999942e-002	-7.950000e-002	-2.084079e-009
-7.939999999999942e-002	-7.940000e-002	-2.083116e-009
-7.929999999999941e-002	-7.930000e-002	-2.082150e-009
-7.919999999999941e-002	-7.920000e-002	-2.081183e-009
-7.909999999999941e-002	-7.910000e-002	-2.080213e-009
-7.899999999999940e-002	-7.900000e-002	-2.079241e-009
-7.889999999999940e-002	-7.890000e-002	-2.078267e-009
-7.879999999999940e-002	-7.880000e-002	-2.077291e-009
-7.869999999999940e-002	-7.870000e-002	-2.076313e-009
-7.859999999999939e-002	-7.860000e-002	-2.075332e-009
-7.849999999999939e-002	-7.850000e-002	-2.074350e-009
-7.839999999999939e-002	-7.840000e-002	-2.073365e-009
-7.829999999999938e-002	-7.830000e-002	-2.072378e-009
-7.819999999999938e-002	-7.820000e-002	-2.071389e-009
-7.809999999999938e-002	-7.810000e-002	-2.070397e-009
-7.799999999999938e-002	-7.800000e-002	-2.069404e-009
-7.789999999999937e-002	-7.790000e-002	-2.068408e-009
-7.779999999999937e-002	-7.780000e-002	-2.067410e-009
-7.769999999999937e-002	-7.770000e-002	-2.066410e-009
-7.759999999999936e-002	-7.760000e-002	-2.065408e-009
-7.749999999999936e-002	-7.750000e-002	-2.064403e-009
-7.739999999999936e-002	-7.740000e-002	-2.063396e-009
-7.729999999999936e-002	-7.730000e-002	-2.062387e-009
-7.719999999999935e-002	-7.720000e-002	-2.061376e-009
-7.709999999999935e-002	-7.710000e-002	-2.060363e-009
-7.699999999999935e-002	-7.700000e-002	-2.059347e-009
-7.689999999999934e-002	-7.690000e-002	-2.058329e-009
-7.679999999999934e-002	-7.680000e-002	-2.057309e-009
-7.669999999999934e-002	-7.670000e-002	-2.056286e-009
-7.659999999999934e-002	-7.660000e-002	-2.055262e-009
-7.649999999999933e-002	-7.650000e-002	-2.054235e-009
-7.639999999999933e-002	-7.640000e-002	-2.053205e-009
-7.629999999999933e-002	-7.630000e-002	-2.052174e-009
-7.619999999999932e-002	-7.620000e-002	-2.051140e-009
-7.609999999999932e-002	-7.610000e-002	-2.050104e-009
-7.599999999999932e-002	-7.600000e-002	-2.049066e-009
-7.589999999999932e-002	-7.590000e-002	-2.048025e-009
-7.579999999999931e-002	-7.580000e-002	-2.046982e-009
-7.569999999999931e-002	-7.570000e-002	-2.045937e-009
-7.559999999999931e-002	-7.560000e-002	-2.044889e-009
-7.549999999999930e-002	-7.550000e-002	-2.043839e-009
-7.539999999999930e-002	-7.540000e-002	-2.042787e-009
-7.529999999999930e-002	-7.530000e-002	-2.041733e-009
-7.519999999999930e-002	-7.520000e-002	-2.040676e-009
-7.509999999999929e-002	-7.510000e-002	-2.039617e-009
-7.499999999999929e-002	-7.500000e-002	-2.038555e-009
-7.489999999999929e-002	-7.490000e-002	-2.037491e-009
-7.479999999999928e-002	-7.480000e-002	-2.036425e-009
-7.469999999999928e-002	-7.470000e-002	-2.035356e-009
-7.459999999999928e-002	-7.460000e-002	-2.034285e-009
-7.449999999999928e-002	-7.450000e-002	-2.033212e-009
-7.439999999999927e-002	-7.440000e-002	-2.032136e-009
-7.429999999999927e-002	-7.430000e-002	-2.031058e-009
-7.419999999999927e-002	-7.420000e-002	-2.029978e-009
-7.409999999999926e-002	-7.410000e-002	-2.028895e-009
-7.399999999999926e-002	-7.400000e-002	-2.027810e-009
-7.389999999999926e-002	-7.390000e-002	-2.026722e-009
-7.379999999999926e-002	-7.380000e-002	-2.025632e-009
-7.369999999999925e-002	-7.370000e-002	-2.024540e-009
-7.359999999999925e-002	-7.360000e-002	-2.023445e-009
-7.349999999999925e-002	-7.350000e-002	-2.022348e-009
-7.339999999999924e-002	-7.340000e-002	-2.021248e-009
-7.329999999999924e-002	-7.330000e-002	-2.020146e-009
-7.319999999999924e-002	-7.320000e-002	-2.019042e-009
-7.309999999999924e-002	-7.310000e-002	-2.017934e-009
