/v.vds`V`float,id(irff130.dut_mos):_0`A`float,id(irff130.dut_mos):_1`A`float,id(irff130.dut_mos):_2`A`float,id(irff130.dut_mos):_3`A`float,id(irff130.dut_mos):_4`A`float,id(irff130.dut_mos):_5`A`float,id(irff130.dut_mos):_6`A`float,id(irff130.dut_mos):_7`A`float,id(irff130.dut_mos):_8`A`float,id(irff130.dut_mos):_9`A`float,id(irff130.dut_mos):_10`A`float,id(irff130.dut_mos):_11`A`float,id(irff130.dut_mos):_12`A`float,id(irff130.dut_mos):_13`A`float,id(irff130.dut_mos):_14`A`float,id(irff130.dut_mos):_15`A`float,id(irff130.dut_mos):_16`A`float,id(irff130.dut_mos):_17`A`float,id(irff130.dut_mos):_18`A`float,id(irff130.dut_mos):_19`A`float,id(irff130.dut_mos):_20`A`float,id(irff130.dut_mos):_21`A`float,id(irff130.dut_mos):_22`A`float,id(irff130.dut_mos):_23`A`float,id(irff130.dut_mos):_24`A`float,id(irff130.dut_mos):_25`A`float
7.52,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8183e-11,1.8326e-11,3.61753e-11,2.20813e-09,2.59721e-07,2.94745e-05,0.00312702,0.281884,1.2406,2.74868,4.702,7.0211,9.6566,12.5632,15.7106,19.0732,22.6274
8.2,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.98273e-11,1.99703e-11,3.78197e-11,2.21294e-09,2.5975e-07,2.94788e-05,0.00312748,0.281923,1.24075,2.74899,4.70249,7.02179,9.6575,12.5643,15.712,19.0747,22.6291
8.88,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.14717e-11,2.16146e-11,3.9464e-11,2.21122e-09,2.59791e-07,2.94833e-05,0.00312794,0.28196,1.2409,2.74929,4.70298,7.02247,9.65841,12.5655,15.7133,19.0763,22.6309
9.56,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3116e-11,2.3259e-11,4.11083e-11,2.21275e-09,2.59843e-07,2.94878e-05,0.0031284,0.281997,1.24105,2.7496,4.70347,7.02315,9.6593,12.5666,15.7147,19.0779,22.6327
10.24,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.47603e-11,2.49033e-11,4.27527e-11,2.2143e-09,2.5989e-07,2.9493e-05,0.00312886,0.282037,1.2412,2.74991,4.70396,7.02383,9.66019,12.5677,15.716,19.0794,22.6345
10.92,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.64047e-11,2.65476e-11,4.44208e-11,2.22018e-09,2.59908e-07,2.94963e-05,0.00312932,0.282075,1.24135,2.75023,4.70446,7.02451,9.66109,12.5688,15.7173,19.081,22.6362
11.6,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8049e-11,2.8192e-11,4.60413e-11,2.22207e-09,2.59954e-07,2.95011e-05,0.00312978,0.282117,1.24151,2.75053,4.70493,7.0252,9.662,12.5699,15.7187,19.0826,22.638
12.28,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.96933e-11,2.98363e-11,4.76857e-11,2.21892e-09,2.60012e-07,2.9506e-05,0.00313024,0.282151,1.24165,2.75084,4.70545,7.02589,9.66288,12.571,15.72,19.0841,22.6398
12.96,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.13377e-11,3.14806e-11,4.93538e-11,2.22559e-09,2.60025e-07,2.95092e-05,0.0031307,0.282188,1.24181,2.75115,4.70593,7.02656,9.6638,12.5721,15.7213,19.0857,22.6415
13.64,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.2982e-11,3.3125e-11,5.09743e-11,2.22748e-09,2.60072e-07,2.95141e-05,0.00313116,0.28223,1.24196,2.75146,4.7064,7.02724,9.6647,12.5732,15.7227,19.0872,22.6433
14.32,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.46263e-11,3.47693e-11,5.26187e-11,2.22352e-09,2.60134e-07,2.95189e-05,0.00313162,0.282265,1.24211,2.75177,4.70691,7.02794,9.66558,12.5744,15.724,19.0888,22.6451
15,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.62707e-11,3.64136e-11,5.43107e-11,2.23224e-09,2.60145e-07,2.95221e-05,0.00313207,0.2823,1.24226,2.75208,4.7074,7.02861,9.66649,12.5755,15.7253,19.0904,22.6469
