v1	I(R1)
-1.499999999999996e-003	1.353992e-004
-1.489999999999996e-003	1.344993e-004
-1.479999999999996e-003	1.335994e-004
-1.469999999999996e-003	1.326996e-004
-1.459999999999996e-003	1.317997e-004
-1.449999999999996e-003	1.308998e-004
-1.439999999999996e-003	1.299999e-004
-1.429999999999996e-003	1.291000e-004
-1.419999999999996e-003	1.282001e-004
-1.409999999999996e-003	1.273002e-004
-1.399999999999996e-003	1.264003e-004
-1.389999999999996e-003	1.255004e-004
-1.379999999999996e-003	1.246006e-004
-1.369999999999996e-003	1.237007e-004
-1.359999999999996e-003	1.228008e-004
-1.349999999999996e-003	1.219009e-004
-1.339999999999996e-003	1.210010e-004
-1.329999999999996e-003	1.201011e-004
-1.319999999999996e-003	1.192012e-004
-1.309999999999996e-003	1.183013e-004
-1.299999999999996e-003	1.174014e-004
-1.289999999999996e-003	1.165016e-004
-1.279999999999996e-003	1.156017e-004
-1.269999999999996e-003	1.147018e-004
-1.259999999999996e-003	1.138019e-004
-1.249999999999996e-003	1.129020e-004
-1.239999999999995e-003	1.120021e-004
-1.229999999999995e-003	1.111022e-004
-1.219999999999995e-003	1.102023e-004
-1.209999999999995e-003	1.093024e-004
-1.199999999999995e-003	1.084026e-004
-1.189999999999995e-003	1.075027e-004
-1.179999999999995e-003	1.066028e-004
-1.169999999999995e-003	1.057029e-004
-1.159999999999995e-003	1.048030e-004
-1.149999999999995e-003	1.039031e-004
-1.139999999999995e-003	1.030032e-004
-1.129999999999995e-003	1.021033e-004
-1.119999999999995e-003	1.012034e-004
-1.109999999999995e-003	1.003036e-004
-1.099999999999995e-003	9.940367e-005
-1.089999999999995e-003	9.850378e-005
-1.079999999999995e-003	9.760389e-005
-1.069999999999995e-003	9.670400e-005
-1.059999999999995e-003	9.580411e-005
-1.049999999999995e-003	9.490423e-005
-1.039999999999995e-003	9.400434e-005
-1.029999999999995e-003	9.310445e-005
-1.019999999999995e-003	9.220456e-005
-1.009999999999995e-003	9.130468e-005
-9.999999999999948e-004	9.040478e-005
-9.899999999999948e-004	8.950489e-005
-9.799999999999948e-004	8.860500e-005
-9.699999999999947e-004	8.770512e-005
-9.599999999999947e-004	8.680523e-005
-9.499999999999947e-004	8.590534e-005
-9.399999999999947e-004	8.500545e-005
-9.299999999999946e-004	8.410557e-005
-9.199999999999946e-004	8.320568e-005
-9.099999999999946e-004	8.230579e-005
-8.999999999999946e-004	8.140589e-005
-8.899999999999945e-004	8.050601e-005
-8.799999999999945e-004	7.960612e-005
-8.699999999999945e-004	7.870623e-005
-8.599999999999945e-004	7.780635e-005
-8.499999999999944e-004	7.690646e-005
-8.399999999999944e-004	7.600657e-005
-8.299999999999944e-004	7.510668e-005
-8.199999999999943e-004	7.420679e-005
-8.099999999999943e-004	7.330690e-005
-7.999999999999943e-004	7.240701e-005
-7.899999999999943e-004	7.150712e-005
-7.799999999999942e-004	7.060724e-005
-7.699999999999942e-004	6.970735e-005
-7.599999999999942e-004	6.880746e-005
-7.499999999999942e-004	6.790757e-005
-7.399999999999941e-004	6.700768e-005
-7.299999999999941e-004	6.610779e-005
-7.199999999999941e-004	6.520790e-005
-7.099999999999941e-004	6.430802e-005
-6.999999999999940e-004	6.340813e-005
-6.899999999999940e-004	6.250824e-005
-6.799999999999940e-004	6.160835e-005
-6.699999999999940e-004	6.070846e-005
-6.599999999999939e-004	5.980858e-005
-6.499999999999939e-004	5.890868e-005
-6.399999999999939e-004	5.800880e-005
-6.299999999999939e-004	5.710891e-005
-6.199999999999938e-004	5.620902e-005
-6.099999999999938e-004	5.530913e-005
-5.999999999999938e-004	5.440924e-005
-5.899999999999937e-004	5.350936e-005
-5.799999999999937e-004	5.260947e-005
-5.699999999999937e-004	5.170958e-005
-5.599999999999937e-004	5.080969e-005
-5.499999999999936e-004	4.990980e-005
-5.399999999999936e-004	4.900992e-005
-5.299999999999936e-004	4.811003e-005
-5.199999999999936e-004	4.721014e-005
-5.099999999999935e-004	4.631025e-005
-4.999999999999935e-004	4.541036e-005
-4.899999999999935e-004	4.451047e-005
-4.799999999999935e-004	4.361058e-005
